title,body,link,host
"Jorge Hank Rhon llama ""basura"" a Lupita Jones; el PRI le exige una disculpa pública","
Tijuana.- El candidato a la gubernatura de Baja California por el Partido Encuentro Solidario, Jorge Hank Rhon, realizó comentarios misóginos y sexistas contra las candidatas de Morena, Marina del Pilar Ávila, y de la alianza PAN, PRI, PRD, Lupita Jones.
Al cuestionarle sobre qué opinaba de que Marina del Pilar estaba por encima de él en las encuestas hacia las próximas elecciones a celebrarse el 6 de junio, Hank Rhon lanzó una serie de comentarios que fueron celebrados por algunos hombres asistentes. 
""¿Cómo que arriba de Marina? No jueguen, no la amuelen, estoy casado, luego tengo 23 hijos. No, no"", respondió el empresario entre risas de su comitiva, incluso hubo quien aplaudió los comentarios en doble sentido que realizó. 
También lee: Candidato de Morena en Yucatán estuvo preso en EU por tráfico de drogas en 2015, según expediente
El abanderado del PES también fue cuestionado sobre los dichos de Lupita Jones, quien lo invitó a declinar por ella, a lo que respondió: ""No, yo no quiero basura"". Y a continuación el reportero de un canal local insistió: ""¿Y a Lupita Jones?"". ""Pues por eso, no quiero basura"", sentenció.
Más tarde fue abordado y cuestionado sobre la respuesta y si esta podría considerarse como sexista, se limitó a negarlo y culpar a las personas que hicieron la pregunta. 
“¿Usted va arriba de Marina? Y yo les dije no. Yo no, para nada... eso dijeron ellos yo no fui...”, justificó. 
Los comentarios fueron realizados durante su gira de campaña en la capital del estado, en Mexicali.
También lee: Feministas reprueban que Evelyn Salgado pretenda “consultar” despenalización del aborto

PRI exige a Hank Rhon disculpa pública
El presidente del PRI, Alejandro Moreno, condenó los comentarios de Hank Rhon los cuales calificó como violencia política en razón de género en contra de la candidata priísta, Lupita Jones.
A través de Twitter exigió que el candidato del PES exprese una disculpa pública, además de que exhortó a las autoridades electorales a tomar medidas necesarias para sancionar dichas conductas.
“No podemos permitir que se violente a ninguna mujer, mucho menos por quienes pretenden obtener el voto ciudadano. Esas conductas no nos representan ni a los mexicanos ni a los bajacalifornianos”, fue uno de los mensajes del líder del PRI.
 

1/3 Es inconcebible que en pleno 2021, en un momento en el que todos debemos ser parte de la solución, el candidato del PES, Jorge Hank Rhon, ejerza violencia política en razón de género en contra de nuestra candidata a la Gubernatura de Baja California, @LupJonesof.
 — Alejandro Moreno (@alitomorenoc) May 19, 2021

rmlgv
",https://www.eluniversal.com.mx/elecciones/jorge-hank-rhon-llama-basura-lupita-jones-el-pri-le-exige-una-disculpa-publica,https://www.eluniversal.com.mx
Usuarios reportan fallas en YouTube; videos no cargan,"
Desde las 9:30 p.m. los usuarios de YouTube reportaron problemas con la plataforma de videos.
De acuerdo con Downdetector, 96% de los internautas que usan YouTube no pueden cargar los videos.
Lee también: YouTube prevé pagar 100 millones a creadores influyentes para competir con TikTok
Bajo el hashtag #YouTubeDown, los usuarios indican que no pueden ver videos y que presentan fallas para utilizar la plataforma.
cev/nv
",https://www.eluniversal.com.mx/cartera/usuarios-reportan-fallas-en-youtube-videos-no-cargan,https://www.eluniversal.com.mx
Lo que debes saber de las semifinales del Guardianes 2021,"
Están por comenzar las semifinales del Guardianes 2021 y aquí te contamos todo lo que debes saber de cara a la fase previa a la final de la Liga MX.
PACHUCA VS CRUZ AZUL
DOMINIO CEMENTERO
Cruz Azul ganó en las últimas 3 ediciones del Clásico Hidalguense (3-1, 1-0 y 0-1). Las últimas 2 victorias de La Máquina Cementera fueron por la mínima diferencia y con anotaciones de cabeza: Jonathan Rodríguez (Guardianes 2020) y Juan Escobar (Guardianes 2021). 
ÚLTIMO EN SEMIFINALES
Pachuca se quedó con el último enfrentamiento en una instancia de semifinales en el historial de los torneos cortos. Pachuca se impuso 1-3 en el marcador global (Jared Borgetti; Gabriel Caballero y Christian Giménez x2), accedió a la final y se consagró Campeón del Clausura 2007.
Lee también: Habrá limpia en el América; se va Nico Castillo y todos los extranjeros están en la mira
GOLEADOR
Ismael Sosa (Pachuca) acumula 3 tantos y 6 asistencias en 1302 minutos jugados en 2021. Según los datos históricos de Data Factory, el argentino lleva 250 partidos en Liga MX y celebró 4 anotaciones en Liguillas: Cuartos de final (Apertura 2016 y 2019), Semifinales (Apertura 2015) y Final (2017). 
CABECITA
Jonathan Rodríguez (Cruz Azul) registra 10 goles (50% entre el minuto 75-90), 5 asistencias e integra el podio de disparos en 1462 minutos disputados en el año. El delantero uruguayo estuvo presente en el marcador en los últimos 2 cruces contra su próximo rival disputados en 2020.
SANTOS LAGUNA VS PUEBLA
GRAN RACHA
Santos cuenta con un invicto de 16 partidos ante La Franja con 6 victorias y 10 empates. La última victoria de Puebla en el historial de Liga MX fue en el Torneo Clausura 2013: 2-1 (Félix Borja y Luis Noriega; Oribe Peralta). Santos perdió 1 de los 24 cruces de local en torneos cortos.
20 AÑOS DESPUÉS
Volverán a enfrentarse en una llave de Semifinales después de 20 años. En un show de goles, igualaron 6-6 en el Torneo de Verano 2001, en donde los Guerreros avanzaron por su posición en la tabla. Luego vencieron a Pachuca en la final y consiguieron su segundo título.
Lee también: ¿Cómo era el mundo cuando Cruz Azul fue campeón en 1997?​​​​​​​
EL MUDO
Eduardo Aguirre (Santos Laguna) participó en 6 de los últimos 11 goles del conjunto verdiblanco (5 tantos de jugada y 1 asistencia). El joven delantero sumó 6 conquistas en 2021 (100% en el Estadio Corona de Torreón). 
ORMEÑO
Santiago Ormeño (Puebla) suma 9 goles en 18 presencias en el Torneo Guardianes 2021 y es el hombre de la Franja con mayor cantidad de disparos: 37 (incluye la Temporada Regular). El futbolista de 27 años anotó 16 tantos en 34 juegos en la temporada.

 
 ",https://www.eluniversal.com.mx/universal-deportes/futbol/liga-mx-lo-que-debes-saber-de-las-semifinales-del-guardianes-2021,https://www.eluniversal.com.mx
Inai llama a instituciones del Estado a conducirse con diligencia ante proceso electoral,"
Blanca Lilia Ibarra, comisionada presidenta del Inai, aseguró que en vísperas del proceso electoral más grande en la historia de México, es imprescindible que las instituciones del Estado mexicano se conduzcan con diligencia para asegurar una jornada ejemplar e imparcial. 
Al participar en la presentación del lanzamiento del micrositio “Información Útil sobre el Proceso Electoral 2021” impulsado por el Inai y por el INE, la comisionada presidenta del organismo autónomo manifestó que es fundamental garantizar fuentes de información que permitan a los ciudadanos obtener información relevante sobre los comicios, autoridades electorales y los partidos políticos que participan en la contiende electoral. 
“El próximo 6 de junio viviremos una fiesta democrática con la elección más grande en la historia de nuestro país, donde habrá mas de 20 mil cargos en disputa entre gubernaturas, diputaciones federales, legislaturas locales, alcaldías, ayuntamientos y regidurías, y donde se prevé la participación de los más de 93.5 millones de ciudadanos inscritos en la lista nominal de electores. 
También lee: ""Marcadores electorales no puedan borrarse"", desmiente INE sobre fake news en WhatsApp
“Ante un proceso electoral de semejante magnitud es imprescindible que las instituciones del Estado se conduzcan con diligencia para asegurar una jornada ejemplar, imparcial y equilibrada que reafirme la trascendencia de los comicios para la vida democrática de nuestro país”, comentó. 
En la presentación, en donde también participó Lorenzo Cordova, consejero presidente del INE, Blanca Lilia Ibarra manifestó que este micrositio es una iniciativa que se debe de destacar pues, señaló, hoy como nunca es necesario desplegar acciones novedosas que permitan llevar a buen puerto las elecciones más grandes en la historia de México. 
“Porque responde a la exigencia de la ciudadanía de tener acceso a la información sobre el funcionamiento de las instituciones y procesos electorales, y porque es necesaria, porque ninguna elección cumpliría con su contenido y su cometido si los ciudadanos ejercen su voto sin conocimiento de causa o si votan por candidatos cuyas acciones, trayectorias o presupuestas desconozcan”.
Señaló que este micrositio ha sido diseñado con la finalidad de avanzar en disminuir las asimetrías informativas y mejorar la toma de decisiones de la ciudadanía, así como fomentar la instrumentación de esquemas de rendición de cuentas efectivas. 
La comisionada presidenta detalló que en el portal se podrán encontrar numeralías, datos y sitios de interés sobre el proceso electoral hasta aspectos centrales vinculados con las funciones y atribuciones del INE, el Tribunal Electoral del Poder Judicial de la Federación (TEPJF), la Fiscalía Especializada en Delitos Electorales (FEDE) y los partidos políticos. 
“Esta incitativa nos permite recordar que, independientemente de las obligaciones de transparencia, es nuestro deber instrumentar acciones de transparencia proactiva que faciliten el acceso a la información útil y relevante. Sigamos trabajado para construir puentes que transformen la vida de las personas, pero sobre todo que fortalezcan nuestra democracia”, agregó. 
El micrositio “Información Útil sobre el Proceso Electoral 2021” puede ser consultado en la página https://micrositios.inai.org.mx/procesoelectoral/.
rmlgvrcr
",https://www.eluniversal.com.mx/elecciones/inai-llama-instituciones-del-estado-conducirse-con-diligencia-ante-proceso-electoral,https://www.eluniversal.com.mx
Inicia vacunación contra Covid-19 de maestros en Tlaxcala,"
Tlaxcala.- Tlaxcala inició este martes con la vacunación contra Covid-19 a 34 mil 567 docentes y personal de apoyo de escuelas públicas y privadas, a cuya jornada de arranque asistió la secretaria de Educación Pública Federal, Delfina Gómez Álvarez.
Desde aquí la titular de la SEP enlazó a la conferencia matutina del presidente Andrés Manuel López Obrador, para dar apertura a este proceso e informar que se ha vacunado al 88% del personal docente del país, es decir, 2 millones 115 mil 129 personas.
Desde las instalaciones de la Universidad Autónoma de Tlaxcala (UATx), Gómez Álvarez fue acompañada del secretario de Educación estatal, Roberto Lima Morales, y se sumó a la propuesta del presidente de regresar a clases presenciales a partir de la segunda semana de junio.
Lee también: Así regresaron a clases en 3 estados: niños, felices de ver a sus amigos
Delfina Gómez reconoció el trabajo que realiza Tlaxcala por ser el primer estado que, con la suma de sus maestros, lanzó su propia estrategia educativa para reforzar los contenidos que transmite la SEP Federal en beneficio de los niños y adolescentes de la entidad.
En su intervención Oscar Flores Jiménez, titular de la Unidad de Administración y Finanzas de la SEP, presentó a Maribel Pérez Sarmiento, primera maestra del estado de Tlaxcala en recibir la vacuna Cansino contra Covid-19 por parte de la enfermera Laura Dávila.
Lee también: Impulsan burbujas sanitarias para evitar contagios en Quintana Roo
Luego del acto protocolario las autoridades educativas visitaron la sede de aplicación ubicada en la escuela primaria “Luis G. Salamanca” en la capital del estado donde observaron el proceso de ingreso, registro, aplicación, observación y salida.
Por su parte, el secretario Lima Morales explicó que el estado realizará el proceso de vacunación los días 18 y 19 de mayo, y para ello cuenta con 10 sedes ubicadas en los municipios de Tlaxcala, Zacatelco, Zacualpan, Chiautempan, Apetatitlán, Ixtacuixtla, Apizaco, Huamantla y Hueyotlipan.
afcl
",https://www.eluniversal.com.mx/estados/inicia-vacunacion-contra-covid-19-de-maestros-en-tlaxcala,https://www.eluniversal.com.mx
Fiscalía de Nueva York inicia investigación criminal contra organización de Donald Trump,"
La Organización Trump es blanco de una investigación criminal por parte de la fiscalía general de Nueva York, informó esta noche CNN.
Fabien Levy, vocero de la fiscal Letitia James, dijo a la cadena estadounidense que “hemos informado a la Organización Trump que nuestra investigación ya no es solamente civil. Ahora investigamos a la Organización Trump criminalmente, junto con la fiscalía de Manhattan”.
Lee también Así es la red social de Donald Trump
Tanto James como el fiscal de distrito de Manhattan, Cy Vance, intentan averiguar si esta organización paraguas para el conglomerado del expresidente Donald Trump engañó a entidades de crédito y aseguradoras sobre el valor de algunas propiedades y si pagó los impuestos indicados.
Hace unas semanas se reveló que Michael Cohen, quien fuera abogado personal del exmandatario, fue entrevistado varias veces por el fiscal Vance. 
Lee también Trump considera postularse a elecciones de 2024; plantea ir con el gobernador de Florida
Además de la pesquisa criminal, se mantiene la civil, iniciada en 2019.

jabf
",https://www.eluniversal.com.mx/mundo/fiscalia-de-nueva-york-inicia-investigacion-criminal-contra-organizacion-de-donald-trump,https://www.eluniversal.com.mx
"Activan Alerta Amber por Melanie Ashley, de 17 años; desapareció en Coyoacán ","
La Fiscalía General de Justicia activó la Alerta Amber debido a la desaparición de Melanie Ashley Pérez Ledesma, de 17 años que fue vista por última vez en la colonia Copilco El Bajo, en la alcaldía Coyoacán. 
Melanie Ashley desapareció el pasado 12 de mayo, desde entonces se desconoce su paradero, mide 1.75 metros, es de complexión delgada, tiene piel morena clara, cabello castaño oscuro lacio y ojos café oscuro grandes. 
Como señas particulares, Melanie Ashley tiene diversos lunares en el cuello y usa brackets en dientes frontales superiores.
Lee también: Buscan a cuatro adolescentes que escaparon de albergue en Tlajomulco, Jalisco
El día de su desaparición, la menor vestía pantalón de mezclilla color azul claro, sudadera color blanco y tenis color blanco y gris. 
 

Se activa #AlertaAmber para localizar a la menor de 17 años de edad, de nombre Melanie Ashley Perez Ledesma, fue vista por última vez el día 12 de mayo 2021 en la colonia Copilco el Bajo, alcaldía #Coyoacán pic.twitter.com/2w1Rx7qBTn
 — Fiscalía CDMX (@FiscaliaCDMX) May 19, 2021

Para aportar información que pueda ayudar a dar con el paradero de Melanie la Fiscalía cuenta con los siguientes números telefónicos: 55 5345 5067, 55 5345 5084 y 55 5345 5082. 
apr/nv
",https://www.eluniversal.com.mx/metropoli/activan-alerta-amber-por-melanie-ashley-de-17-anos-desaparecio-en-coyoacan,https://www.eluniversal.com.mx
Piden al Ejército intervenir en Saltillo ante caos en vacunación contra Covid-19 ,"
Saltillo.- Miles de saltillenses abarrotaron los centros de vacunación contra el Coronavirus, hubo caos, molestias y la aplicación del biológico se suspendió porque se les acabaron las vacunas en dos de los tres módulos.
Ante la situación caótica que prevalece desde la víspera, por la desinformación de la Secretaría de Bienestar, el Subcomité Regional Covid-19 Sureste solicitó este martes la intervención urgente de la Secretaría de la Defensa Nacional (Sedena) para que el Ejército Mexicano “tome las riendas” ponga orden en la inoculación y se garantice rapidez y trato digno a la gente.
Por segundo día consecutivo la jornada de inmunización contra el Covid-19 a personas de 50 a 59 años de edad y mujeres embarazadas, aquí en la capital de Coahuila fue un verdadero caos para muchos.
Filas kilométricas de carros, camionetas y hasta camiones de transporte de personal de las empresas, y peatones que madrugaron y esperaron horas su turno.
En el Centro Cultural de la Universidad Autónoma de Coahuila (UA de C), Campus Arteaga, la columna era superior a los 2 mil 500 vehículos, desde la avenida Fundadores de Saltillo hasta el municipio vecino.



E igual que el lunes, un mega embotellamiento en plena carretera Federal 57 ocasionó que muchos automovilistas que iban a su trabajo o a otros lados quedaron atrapados en el tráfico.
Empero, a muchos de los que hicieron cola de nada les sirvió porque no alcanzaron dosis y los regresaron a su casa sin haberlos inoculado.
Por lo anterior, el Subcomité Técnico Regional Covid-19 Sureste acordó solicitar al Ejército Mexicano intervenir totalmente en la vacunación.
Dicho subcomité técnico está integrado por el Gobierno de Coahuila; Jaime Guerra Pérez, secretario de Economía, la secretaría de Salud, los alcaldes de  los municipios de la zona sureste, Saltillo, (Manolo Jiménez Salinas), Arteaga, (Everardo Durán Flores), Ramos Arizpe, (José María Morales Padilla), General Cepeda, (Juan Salas Aguirre) y el de Parras, (Ramiro Pérez Arciniega).
Así como todas las autoridades del sector Salud, directores de hospitales públicos y privados, Ejército Mexicano, Guardia Nacional, Cruz Roja, directivos de  cámaras empresariales y de la sociedad civil.
Lee también: Inicia vacunación contra Covid-19 de maestros en Tlaxcala
 

“Reyes Flores no puede con la vacunación”
Los integrantes del Subcomité coincidieron en que el caos que ha imperado en las dos primeras jornadas de vacunación para personas de 50 a 59 años se debe a la desorganización de la delegación de Bienestar del Gobierno Federal.
Durante la reunión, comentaron que el proceso de vacunación es algo muy esperado por parte de la población desde hace tiempo, por eso es necesario realizar una labor seria y efectiva.
“No permitiremos que los saltillenses sigan recibiendo este trato”, advirtieron los integrantes del grupo, máxima autoridad en el tema de acciones para combatir el Coronavirus.
Por lo anterior, hicieron un llamado enérgico y directo al delegado federal en Coahuila, Reyes Flores Hurtado, para que se haga a un lado y deje que las autoridades competentes con experiencia y capacidad se encarguen de esta jornada de vacunación.
Así como lo hicieron grupos de militares cuando inmunizaron a los maestros, maestras, médicos, enfermeras y todo el personal de clínicas, hospitales y en general del sector Salud en Coahuila.
Pidieron que de manera inmediata el Ejército Mexicano tome las riendas de la vacunación que se efectúa en Saltillo a las personas de 50 a 59 años, así como a las mujeres embarazadas.
“Se requiere a nuestras Fuerzas Armadas porque el Gobierno Federal, a través de la Secretaría del Bienestar, ha sido totalmente incapaz de establecer una logística digna para la población saltillense”.
En un comunicado de prensa, el Subcomité señaló que resultado de una falta de planeación se reportaron en Saltillo filas de miles de personas y cientos de vehículos, generando malestares físicos entre quienes acudieron, además de saturación vial en la ciudad.
Confirmó que no se contó con dosis suficientes, que los “Servidores de la Nación” llegaron tarde a los puntos de vacunación; lo cual generó que personas que habían esperado durante horas, tuvieran que regresar a casa sin que los vacunaran.
Además, percibieron que en estas jornadas han privilegiado un registro burocrático, con falta de orden entre las personas y con pocos puntos de vacunación.
“Todo este caos se generó debido a que el Gobierno Federal inició la jornada arrebatadamente, sin informar bien a la población y sin la coordinación con el Gobierno del Estado ni con los Gobiernos Municipales”, afirmaron.
No permitieron que la incapacidad ni la falta de experiencia de una dependencia federal, maltrate a los saltillenses, sentenciaron.
afcl/nv
",https://www.eluniversal.com.mx/estados/piden-al-ejercito-intervenir-en-saltillo-ante-caos-en-vacunacion-contra-covid-19,https://www.eluniversal.com.mx
Hospitalizan a profesor de CCH Naucalpan que realizó huelga de hambre,"
Naucalpan, Méx.- El profesor de matemáticas Mauricio Albuerne Sánchez del CCH Naucalpan fue hospitalizado luego de sufrir elevación de sus niveles de glucosa y de presión, que lo llevaron a presentar diversos síntomas de alarma, con lo que terminó la huelga de hambre que inició el lunes 17 de mayo, para exigir la regularización inmediata de los nombramientos-contratos para maestros de la Universidad Naconal Autónoma de México (UNAM) y pago de adeudos salariales para los mentores de la Máxima Casa de Estudios.
Autoridades del Colegio de Ciencias Humanidades, plantel Naucalpan, informaron esta noche que “el profesor que había iniciado una huelga de hambre, la ha concluido y está recibiendo atención médica, con el apoyo de la Universidad y del CCH. Asimismo, se informa que se atendieron sus demandas”.
El maestro Albuerne Sánchez inició una huelga de hambre el lunes 17 de mayo, en demanda de la regularización inmediata de los nombramientos-contratos para maestros de la UNAM y adeudos salariales para los mentores de la Máxima Casa de Estudios, que en su caso ascienden a más de 11 mil pesos, por la impartición de asesorías.
Lee también: Profesor de CCH Naucalpan se declara en huelga de hambre ante adeudos salariales
Este martes, Mauricio Albuerne informó que registró niveles de glucosa de 450 y presión arterial de 170/90, por lo que sus colegas pidieron el apoyo de paramédicos de Protección Civil en dos ocasiones, la primera antes del mediodía y la segunda en la tarde de este 18 de mayo, en que fue trasladado a un hospital cercano.
apr/nv
",https://www.eluniversal.com.mx/metropoli/hospitalizan-profesor-de-cch-naucalpan-que-realizo-huelga-de-hambre,https://www.eluniversal.com.mx
Denuncia senador de Morena a Ricardo Gallardo por entrega de tarjeta “La Cumplidora”,"
El senador de Morena, Elí César Cervantes, presentó una denuncia contra Ricardo Gallardo Cardona ante la Fiscalía Especializada en Delitos Electorales (FEDE) en el estado de San Luis Potosí, por la entrega de tarjetas a cambio del voto, que es catalogada como delito electoral.
En su denuncia, el legislador argumenta que en los eventos de campaña Ricardo Gallardo ha entregado de forma masiva, directa o indirectamente la tarjeta “La Cumplidora”, misma que está envuelta en un tríptico en donde se explica que se recibirán beneficios de dinero u otra contraprestación para adultos mayores, apoyos para personas con discapacidad y madres solteras. Además tiene la imagen del candidato y la leyenda “para que a partir del 26 de septiembre, tengas acceso a diferentes programas y becas que otorgará mi gobierno en beneficio tuyo y de tu familia… Se activará a partir del próximo 6 de junio del presente año”.
Eli César Cervantes explicó que de acuerdo con la fracción VII del artículo 7 de la Ley General en Materia de Delitos Electorales, se impondrán de 50 a 100 días multa y prisión de seis meses a tres años a quien solicite votos por paga, promesa de dinero u otra contraprestación, o bien mediante violencia o amenaza, presione a otro a asistir a eventos proselitistas, o a votar o abstenerse de votar por un candidato, partido político o coalición, durante la campaña electoral, el día de la jornada electoral o en los tres días previos a la misma.
Lee más: Fox chochea, no preocupa a nadie: diputado Ricardo Gallardo
“Frente al cambio verdadero y la base de la Cuarta Transformación, el Presidente de la República ha llamado a actuar alejados de mentiras y trampas para lograr el voto popular, ha insistido en denunciar delitos electorales, pues es una responsabilidad de todo ciudadano evitar campañas tramposas y delitos electorales. Por ello se presentó la denuncia, ya no estamos en la época de los engaños”.
Por otra parte, lamentó que ante esta denuncia, su compañera de la 4T, la senadora del Partido del Trabajo (PT), Geovanna Bañuelos de la Torre, lo acuse de inmiscuirse indebidamente en la elección de San Luis Potosí y de prestarse a “una guerra sucia de calumnias e injurias para mentirle al pueblo”, utilizando recursos públicos.
El senador de Morena aseguró que no tiene miedo, “ voy a respaldar y apoyar a los que represento en el estado San Luis Potosí, la única mentira que hay es la que se esconde con la entrega de la tarjeta”.
“Estoy convencido que la defensa del pueblo de México es la única vía de transformación verdadera, aunque las resistencias de algunos personajes por mantener los privilegios del antiguo régimen intenten frenar o comprar la voluntad popular”.
Aclaró que en lo que sí coincide con la senadora del PT es en que las autoridades deben observar y castigar a todo los que cometan delitos electorales, trátese de quien se trate, pues no hay lugar para simulaciones perversas, por lo que la llamó a formar un solo frente en unidad contra el viejo régimen y a favor de los ciudadanos.
maot
",https://www.eluniversal.com.mx/elecciones/denuncia-senador-de-morena-ricardo-gallardo-por-entrega-de-tarjeta-la-cumplidora,https://www.eluniversal.com.mx
